DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,WV,55,33469.94546,12108.67273,9678.945455
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,OR,58,47274,15309.44828,13380.60345
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,KS,61,50543.72131,10436.08197,9557.688525
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,IA,63,43939.5873,12529.66667,10366
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,MS,68,45896,10541.48529,9128.926471
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,CO,91,76487.36264,13014.51648,10071.6044
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,LA,96,47810.59375,12366.11458,9847.854167
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,AR,98,39909.61225,10859.38776,9342.765306
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,OK,110,58200.11818,11644.73636,9871.809091
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,WA,113,58933.9823,16385.79646,11895.86726
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,AL,118,50441.57627,10368.22881,8739.423729
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,AZ,118,56362.30509,12737.62712,10705.69492
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,KY,118,40643.4661,11240.1017,9580.550848
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,CT,134,44543.9403,16077.79851,11798.8806
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,WI,142,40741.6338,13552.83803,10215.55634
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,SC,146,47509.43836,11306.99315,9792.678082
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,MO,149,54270.42282,12193.10067,10945.60403
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,IN,170,47608.45294,11412.9,9582.988235
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,TN,184,44704.67935,10744.88044,9130.847826
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,MN,194,41254.14949,14821.14949,12262.79897
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,GA,202,49953.48515,12351.81188,10379.06931
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,VA,225,53076.92,12639.00889,10143.81778
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,NC,245,45220.08571,13350.29388,10852.93061
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,MI,248,35443.16532,12911.34677,10946.62097
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,MD,260,23118.21539,21373.45769,19758.88462
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,OH,261,38976.38697,11889.31035,9489.203065
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,MA,266,49036.6015,16247.59774,14361.54511
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,NJ,373,81949.75871,13908.79893,12185.87131
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,IL,409,55121.6088,14479.15159,11099.49633
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,PA,412,69447.99272,13803.36651,10679.15777
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,TX,481,68325.2973,12503.37422,9741.029106
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,NY,555,65826.73694,17391.48469,14530.96216
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,CA,612,93558.85458,17177.04412,14745.95098
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,FL,640,62583.09688,11009.39531,9566.4125
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,NV,12,79695.75,9473.916667,8228.5
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,WV,16,25732.1875,7806.75,6408.125
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,IA,17,36681.29412,8632.352941,5679.235294
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,KS,18,37599.22222,7507.555556,6901.333333
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,UT,18,34184.16667,8735.388889,7029.277778
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,CO,19,54116.31579,10169.42105,6671.684211
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,KY,20,43646.8,8129.85,6238.2
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,LA,20,34176.35,8691.5,6656.1
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,WA,21,51964.38095,12294.85714,8966
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,CT,22,42379.04546,10774.90909,7820.409091
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,WI,23,34217.21739,8420.521739,6914.173913
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,OK,24,41534,8008.916667,6837.166667
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,AZ,27,42511.2963,8918.37037,6876.925926
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,MS,27,37133.55556,7044,5918.962963
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,IN,29,36842.58621,7573.724138,6511.62069
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,AL,31,31062.6129,6565.451613,5799.354839
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,AR,31,39109.09677,9235.870968,7161.548387
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,SC,35,33866.62857,7187.914286,6129.142857
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,GA,39,33431.4359,8266.717949,7020.974359
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,MA,42,28810.45238,10641.28571,8320.261905
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,MN,44,32067.27273,9458.068182,7935.25
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,TN,47,55664.31915,8801.425532,6894.085106
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,VA,50,46327.02,9383.32,6944.3
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,MD,53,15963.69811,14799.49057,12960.16981
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,NC,54,45382.24074,11336.31482,8831.87037
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,MO,56,43697.91071,7990.785714,6650.321429
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,OH,60,32853.08333,7950.566667,6180.733333
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,MI,63,26444.11111,9077.952381,7245
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,IL,67,39328.49254,9534.731343,7548.746269
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,NJ,68,56956.30882,9354.632353,7878.911765
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,PA,95,43714.85263,9443.589474,7043.421053
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,NY,118,40500.11864,11506.66949,9631.262712
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,TX,123,40030.10569,8413.821138,6102.634146
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,CA,129,71473.07752,11531.07752,9866.418605
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,FL,158,44362.90506,9155.721519,6526.379747
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,UT,12,20804.33333,12686.16667,11353.08333
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,NV,13,84605.76923,14038.76923,13033.53846
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,OK,15,90658.8,13669.86667,11925.26667
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,WV,16,56380,13948.125,11434.8125
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,KS,17,45815.70588,11615.11765,10267
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,OR,17,36413.47059,13928,12712.94118
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,MS,18,53770.88889,11070.5,10312.11111
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,ME,19,37856.05263,12899.26316,11723.68421
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,NE,20,50134,12196.05,11068.95
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,CO,21,70569.19048,13588.09524,11693.80952
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,AR,23,46409.52174,13274.26087,12026.26087
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,KY,28,51648.57143,14807.14286,10625.28571
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,AL,29,70739.06897,10797.89655,8501.310345
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,IA,31,41564.54839,13092.93548,9726.129032
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,AZ,34,51023.35294,14517.32353,11788.97059
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,CT,34,45033.17647,15597.61765,13352.14706
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,SC,34,54718.67647,15064.47059,12553.17647
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,LA,36,47010.47222,13463.30556,9891.527778
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,MD,39,28301.07692,26197.5641,23977.53846
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,WA,39,67063.76923,17175.10256,14570.48718
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,WI,41,38158.09756,13582.46342,10773.41463
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,IN,47,56785.6383,13632.70213,11923.95745
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,MO,51,39596.5098,11699.80392,10823.15686
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,MN,55,46641.2,16619.23636,14634.32727
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,TN,58,63108.41379,14431.93103,11315.17241
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,GA,62,58448.32258,13842.66129,12490.09677
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,VA,66,38351.93939,12560.90909,10061.06061
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,MI,72,40553.04167,15101.45833,11795.40278
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,NC,74,40070.44595,14271.94595,11359.37838
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,NJ,75,122588.1067,16231.69333,13971.09333
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,OH,90,43246.32222,12559.18889,10383.36667
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,PA,91,71255.32967,14778.02198,11957.49451
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,MA,92,41924.3913,18666.25,14504.36957
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,IL,112,59531.97321,13653.16964,11892.34821
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,TX,114,61037.58772,12354.42982,10866.39474
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,NY,132,85306.12879,20005.12879,17550.56061
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,FL,139,79301.45324,12517.00719,10820.70504
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,CA,215,106893.1767,18986.25116,16303.16744
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,MT,11,22039.18182,7906.272727,7055.909091
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,OR,11,26369.63636,8986.454546,7708.909091
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,NH,12,22503.91667,8777.083333,7102.583333
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,NM,12,24456.16667,9751.166667,8676.166667
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,ME,13,28837,8473.461539,7526.384615
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,NV,13,42474.46154,9450.769231,8612.076923
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,VT,14,25039.35714,10417.21429,9129.285714
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,WV,14,35459.78571,11058.85714,5737.571429
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,NE,18,42162.27778,10384.22222,6229.722222
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,CO,21,38235.61905,8890.857143,7551.476191
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,LA,23,52209.34783,11249.6087,7347.521739
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,OK,23,39313.73913,9311.782609,8206.913044
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,AR,24,31512.29167,8079.541667,6404.625
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,IA,27,30202.92593,9032.37037,6284.925926
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,KY,31,33475.06452,8291.258065,7049.290323
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,WA,31,42976.51613,10887.3871,8736.258065
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,SC,32,33048.0625,8668.5,6951.34375
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,MS,33,34038.33333,7397.606061,6395
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,WI,36,34197.80556,9848.722222,7186.222222
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,CT,37,33199.97297,10373.37838,8631.054054
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,AZ,38,45921.44737,9034.236842,7290.473684
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,IN,46,30247.91304,8419.086957,6385.152174
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,AL,47,32070.87234,7371.787234,5570.361702
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,VA,48,31502.72917,8400.0625,6513.291667
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,MN,49,26393.89796,9351.979592,7688.183674
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,MO,49,33931.18367,7873.44898,6936.673469
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,NC,51,29086.07843,9055.764706,6937.666667
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,TN,51,35029.05882,8362.27451,6112.137255
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,GA,53,40920.90566,9957.90566,7118.09434
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,MD,60,15498.78333,14366.71667,12650.9
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,MI,60,26074.8,8813,7640.883333
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,MA,74,29068.81081,10683.27027,9257.175676
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,OH,75,24194.02667,8468.24,6532.586667
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,NJ,88,67802.36364,9452.863636,8008.329546
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,TX,97,46252.03093,8495.546392,7132.670103
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,IL,107,43829.56075,9484.542056,7684.420561
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,PA,119,48348.68908,9728.285714,7014.07563
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,NY,138,62211.15942,13048.85507,10586.94203
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,FL,157,44406.2293,7570.121019,6327.165605
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,CA,178,68628.4382,11934.30899,10067.74157
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,GA,11,20475.81818,5947,4694.545455
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,MN,12,33423.33333,10004.83333,4976.75
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,MO,12,27739.66667,5833.583333,4634.25
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,NC,12,22116.41667,6968.25,5169.833333
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,MA,14,21272.57143,7545.571429,6272.928571
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,OH,14,30273.57143,6598.785714,4626.357143
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,NJ,17,65917.52941,8218.882353,6758.705882
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,MI,19,22584.52632,6358.842105,5401.210526
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,PA,19,37820.89474,6666.31579,5186.473684
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,NY,21,28928.47619,8320.52381,6855.476191
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,CA,22,42117.81818,9272.863636,7423.363636
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,IL,26,33237.30769,6632.538462,5756.346154
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,FL,30,48287.1,5611.4,4139.266667
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W/O CC/MCC,TX,30,37727.93333,8420.066667,4666.033333
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,ND,11,41803.54546,16364.81818,15303
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,ID,12,61374,15718.08333,15011
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,HI,13,67469.53846,24771.38462,22786.15385
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,SD,15,78420.73333,19646.46667,15606.6
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,NM,16,57272,19460.25,17067.25
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,DC,17,62463.17647,21880.58824,19489.47059
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,NE,18,81841.33333,19030.22222,15604.44444
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,WV,18,58782.72222,18237.77778,14150.55556
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,ME,19,66226.89474,33366.89474,19005.36842
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,MS,19,87047.52632,19751.84211,17287
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,NH,20,30939.2,21647.05,20643.05
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,UT,22,72318.31818,22409.95455,19398.68182
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,OK,24,114293.625,20324.91667,16750.875
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,NV,26,202243.6539,21268.65385,17235.84615
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,AL,32,129532.75,24129.15625,19718.34375
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,KY,36,91102.88889,19047.86111,17948.16667
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,LA,39,97050.69231,23786.71795,16464.58974
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,IA,40,60047.925,18984.75,17771.45
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,KS,41,135465.6098,23067.17073,20623.82927
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,MD,44,41682.93182,38411.79546,37736.45455
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,AR,47,86032.57447,22426.02128,17717.82979
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,CT,47,78668.70213,23698.25532,20400.6383
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,IN,51,92527.84314,20455.21569,18851.72549
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,OR,52,62622.44231,25425.46154,21263.38462
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,SC,55,52683.98182,19804.18182,16431.85455
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,WI,60,56147.91667,19427.43333,16884.18333
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,CO,66,92249.89394,23478.71212,18636.72727
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,TN,67,102266.3731,22431.58209,19695.02985
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,GA,72,91404.41667,24435.06944,21329.625
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,VA,80,68081.4375,19682.6125,16854.05
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,AZ,81,77267.50617,21272.53086,19423.74074
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,MA,102,75719.65686,29777.57843,26156.85294
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,OH,102,75806.94118,21761.5,17593.96078
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,WA,111,77530.14414,25823.30631,20576.18919
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,MO,124,73145.66129,21182.65323,19961.22581
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,NJ,125,88011.52,22043.176,20414.16
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,MI,128,51283.38281,20846.53906,18689.32031
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,MN,128,57876.15625,25219.85156,20144.83594
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,NC,130,53238.04615,21339.77692,17647.73846
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,PA,131,126526.5191,26192.96947,20247.51145
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,FL,164,114397.8354,21520.69512,17229.30488
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,TX,230,144789.0478,22745.99565,18233.8087
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,IL,251,76480.03187,26422.29881,19468.24701
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,NY,251,113443.6853,30272.40638,26513.73307
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,CA,499,155433.7996,31798.12625,27221.93587
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,MT,22,21736.59091,10823.09091,6861.272727
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,SD,28,55797.28571,9998.571429,8597.178571
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,DE,31,42688.12903,9990.677419,8803.129032
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,RI,38,28219.47368,11678.5,10555.94737
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,VT,47,30958.29787,12975.3617,10096.19149
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,ME,48,24886.20833,10384.66667,6951
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,NM,49,28130.95918,11594.57143,8971.77551
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,UT,50,44622.4,10897.64,8778.48
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,ID,51,44576.43137,8819.882353,7919.960784
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,NE,58,37993.36207,10585.67241,8871.258621
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,NH,60,28903.7,11168.35,10405.1
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,ND,64,24802.84375,8591.984375,7518.84375
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,NV,64,102373.2188,10194.875,8799.046875
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,DC,66,39172.62121,11734.33333,8803.954546
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,HI,112,25145.88393,12427.47321,9243.848214
CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,AL,129,51534.82171,8952.891473,7505.550388
